"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.237127958E0,4.010269165E0,2.336058807E1,-4.894478607E1,5.438190340E1
3.247168958E0,4.244888306E0,2.342734909E1,-4.891514587E1,5.440175786E1
3.257209958E0,4.139701843E0,2.347490311E1,-4.885687256E1,5.436177153E1
3.267250958E0,4.277435303E0,2.352854538E1,-4.864630890E1,5.420657036E1
3.277291958E0,4.145843506E0,2.352229691E1,-4.850755310E1,5.406911482E1
3.287333958E0,4.189922333E0,2.356323242E1,-4.875156403E1,5.430926593E1
3.297374958E0,4.142002106E0,2.353670883E1,-4.903871918E1,5.455207441E1
3.307415958E0,4.068634033E0,2.343762970E1,-4.890759277E1,5.438592557E1
3.317456958E0,4.066844940E0,2.336159897E1,-4.865493774E1,5.412583949E1
3.327497958E0,3.937515259E0,2.339358902E1,-4.868913269E1,5.416083156E1
3.337539958E0,4.188190460E0,2.309723663E1,-4.911084747E1,5.443251435E1
